=== item 5 NO-MOVE proof, label=mini19 at 2026-09-10T09:16:12
176d4279 Sunny Glaze Donuts               stored fin=516b838def5f ppl=34801382f113 | recalc fin=516b838def5f ppl=34801382f113 y1=44136fa355b3 payroll=183322.5 rest=None owner_comp=6318.33 hold=None->None
         roster: [('Jordan Lee', 'Owner and Manager', 75820.0, 'oews_median'), ('Maria Gonzalez', 'Lead Baker', 36550.0, 'oews_median')]
1b7eeb63 Sunny Glaze Donuts               stored fin=516b838def5f ppl=34801382f113 | recalc fin=516b838def5f ppl=34801382f113 y1=44136fa355b3 payroll=183322.5 rest=None owner_comp=6318.33 hold=None->None
         roster: [('Jordan Lee', 'Owner and Manager', 75820.0, 'oews_median'), ('Maria Gonzalez', 'Lead Baker', 36550.0, 'oews_median')]
482b870f Sunny Glaze Donuts               stored fin=3b813be175ce ppl=3ad5f29019e6 | recalc fin=114c38ac4acd ppl=3ad5f29019e6 y1=8fe087149a71 payroll=282042.5 rest=None owner_comp=8349.17 hold=None->None
         roster: [('Jordan Lee', 'Owner and Manager', 100190.0, 'oews_pct75'), ('Maria Gonzalez', 'Lead Baker', 95000.0, 'client_override')]
65e3c466 Ardenwald Cold Storage           stored fin=f593f8267ade ppl=33abb055af64 | recalc fin=f593f8267ade ppl=33abb055af64 y1=2793ef8a98e3 payroll=1335000.0 rest=986000 owner_comp=11250.0 hold=None->None
         roster: [('Marguerite Vasquez-Thorne', 'Founder and General Manager', 135000.0, 'client_override'), ('Dashiell Achebe', 'Operations Director', 118000.0, 'client_override'), ('Priya Ramanathan', 'Maintenance and Refrigeration Lead', 96000.0, 'client_override')]
b4929a89 Sunny Glaze Donuts               stored fin=d3f902a44a56 ppl=3904cbd94aed | recalc fin=d3f902a44a56 ppl=3904cbd94aed y1=44136fa355b3 payroll=92000.0 rest=None owner_comp=3500.0 hold=None->None
         roster: [('Jordan Lee', 'Owner and Manager', 42000.0, 'client_override'), ('Maria Gonzalez', 'Lead Baker', 30000.0, 'client_override'), ('Devon Pratt', 'Barista / Counter Lead', 12000.0, 'client_override'), ('Alex Rivera', 'Counter Associate (part-time)', 8000.0, 'client_override')]
bb793dbb Sunny Glaze Donuts               stored fin=516b838def5f ppl=34801382f113 | recalc fin=516b838def5f ppl=34801382f113 y1=44136fa355b3 payroll=183322.5 rest=None owner_comp=6318.33 hold=None->None
         roster: [('Jordan Lee', 'Owner and Manager', 75820.0, 'oews_median'), ('Maria Gonzalez', 'Lead Baker', 36550.0, 'oews_median')]
c8a6b6b5 Sunny Glaze Donuts               stored fin=516b838def5f ppl=34801382f113 | recalc fin=516b838def5f ppl=34801382f113 y1=44136fa355b3 payroll=183322.5 rest=None owner_comp=6318.33 hold=None->None
         roster: [('Jordan Lee', 'Owner and Manager', 75820.0, 'oews_median'), ('Maria Gonzalez', 'Lead Baker', 36550.0, 'oews_median')]
3201a64c Marchetti & Fen                  stored fin=b61155021646 ppl=2f1d1d7917d7 | recalc fin=8dfa60af8b8e ppl=2f1d1d7917d7 y1=a967eba0a690 payroll=820000.0 rest=523000 owner_comp=24750.0 hold=None->None
         roster: [('Ottoline Marchetti', 'Principal Architect and Co-Owner', 155000.0, 'client_override'), ('Rasheed Fennimore', 'Design Director and Co-Owner', 142000, 'client_override')]
3c2224e1 Northwind Systems, Inc.          stored fin=99bdbaefea0a ppl=74196dc08f1b | recalc fin=8a0d71688faf ppl=74196dc08f1b y1=5cc057331b8d payroll=52202210.0 rest=51350000 owner_comp=71017.5 hold=None->None
         roster: [('Elena Vasquez', 'Co-Founder and CEO', 650000.0, 'client_override'), ('Rajan Mehta', 'Co-Founder and CTO', 202210.0, 'client_override')]

=== census: _owner_wage_conflict_hold carriers, THE RECALC replayed on deep copies (nothing written)
carriers=102 would_retire=0 kept=102 errors=0 carriers_with_two_named_owner_humans=0
  KEPT   ('02824a95', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('02fb099a', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('0632b7a1', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('08025142', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('0ed91d63', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('1178340c', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('123c0625', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('14c778d6', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('1adab231', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('1bf4699f', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('1fa8cd3d', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('253532e5', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('27a82377', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('27ccee40', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('2c7f6275', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('2ceb2ffc', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('2f62a498', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('3192b94e', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('3a52f08d', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('3a7c92d1', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('3b28ac62', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('3f075baa', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('3f0e1c8f', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('3f3444fd', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
  KEPT   ('445e60b6', 'Sumac Ridge Grounds', {'kept': 48000.0, 'other': 33999.96}, [('Delia Rennick', 'Owner / Crew Lead', 48000.0)])
